District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
1944,Scappoose SD 1J,958,Sauvie Island School,Darla Meeuwsen,Grade(s) K-8,E,Multnomah,206,*,2,13%,20%,79%,12,2,1,16%,No,24,No Change,,25,91%,Decrease,1%,80%,Average,77%,Increase,12%,54%,63%,Increase,4%,42%,85%,Increase,5%,64%,,,,,,,,,,,,
1944,Scappoose SD 1J,162,Scappoose High School,Jim Jones,Grade(s) 9-12,H,Columbia,736,<5%,6,9%,30%,96%,37,7,3,18%,No,25,Decrease,1,25,81%,Increase,3%,80%,,,,,,,,,,,,,,87%,Decrease,8%,85%,95%,Increase,3%,77%,95%,Increase,2%,83%
1944,Scappoose SD 1J,161,Scappoose Middle School,Troy Monson,Grade(s) 7-8,M,Columbia,331,<5%,2,15%,32%,97%,17,6,1,22%,Yes,26,Increase,5,25,86%,Increase,3%,80%,Average,62%,Increase,8%,57%,44%,Increase,7%,42%,80%,Increase,2%,61%,,,,,,,,,,,,
1944,Scappoose SD 1J,4221,South Columbia Family School,Ray Brown,Grade(s) K-8,E,Columbia,71,*,1,*,*,72%,3,0,0,0%,Yes,18.5,Increase,2,25,94%,Decrease,1%,80%,High,60%,Increase,19%,54%,31%,Decrease,2%,42%,62%,Decrease,13%,64%,,,,,,,,,,,,
1944,Scappoose SD 1J,160,Warren Elementary School,Laura LaMarsh,Grade(s) K-3,E,Columbia,187,*,1,10%,40%,93%,10,5,1,26%,No,23,Decrease,1,25,84%,Decrease,7%,80%,*,63%,Decrease,4%,48%,55%,Decrease,6%,47%,*,No Change,,,,,,,,,,,,,,
2103,Scio SD 95,676,Centennial Elementary School,Luke Zedwick,Grade(s) K-5,E,Linn,295,*,2,11%,47%,96%,15,7,0,14%,No,24.5,Increase,1,25,75%,Decrease,5%,80%,High,53%,Decrease,1%,51%,40%,Decrease,11%,44%,87%,Decrease,4%,65%,,,,,,,,,,,,
2103,Scio SD 95,2994,Lourdes School,Linda Duman,Grade(s) K-8,E,Linn,46,*,1,*,*,92%,3,0,0,28%,No,17,Increase,5,25,93%,Increase,13%,80%,High,63%,No Change,,54%,47%,Decrease,11%,42%,91%,Decrease,>4%,64%,,,,,,,,,,,,
2103,Scio SD 95,5061,Oregon Virtual Education,Paul Peterson,Grade(s) 6-12,H,Washington,41,*,1,*,*,*,14,0,0,14%,No,4,Decrease,1,25,57%,Increase,13%,80%,,,,,,,,,,,,,,*,No Change,,85%,0%,Decrease,10%,77%,14%,Increase,4%,83%
2103,Scio SD 95,678,Scio High School,Danielle Blackwell,Grade(s) 9-12,H,Linn,235,*,4,16%,38%,98%,16,6,2,16%,No,18,Decrease,3,25,71%,Decrease,8%,80%,,,,,,,,,,,,,,82%,Decrease,6%,85%,95%,No Change,,77%,99%,Increase,8%,83%
2103,Scio SD 95,677,Scio Middle School,Greg Nolan,Grade(s) 6-8,M,Linn,149,*,3,15%,44%,95%,8,2,0,22%,No,20.5,Decrease,2,25,74%,Decrease,6%,80%,High,63%,Increase,14%,56%,51%,Increase,10%,41%,59%,Decrease,14%,61%,,,,,,,,,,,,
1935,Seaside SD 10,150,Broadway Middle School,Natalie Osburn,Grade(s) 6-8,M,Clatsop,353,20%,3,15%,48%,88%,18,5,1,14%,Yes,23,Decrease,4,25,79%,Decrease,1%,80%,Average,50%,Decrease,9%,56%,28%,Decrease,6%,41%,59%,Decrease,5%,61%,,,,,,,,,,,,
1935,Seaside SD 10,153,Gearhart Elementary School,Juliann Wozniak,Grade(s) K-5,E,Clatsop,306,12%,3,19%,>95%,92%,17,13,1,12%,No,26,Decrease,1,25,78%,Decrease,3%,80%,Average,55%,Increase,12%,51%,42%,Increase,9%,44%,79%,Increase,12%,65%,,,,,,,,,,,,
1935,Seaside SD 10,152,Seaside Heights Elementary School,Juliann Wozniak,Grade(s) K-5,E,Clatsop,466,25%,6,18%,>95%,93%,24,20,1,15%,Yes,25,Increase,1,25,79%,Decrease,1%,80%,High,41%,Increase,1%,51%,31%,Increase,9%,44%,61%,Increase,1%,65%,,,,,,,,,,,,
1935,Seaside SD 10,154,Seaside High School,Jeff Roberts,Grade(s) 9-12,H,Clatsop,430,19%,7,16%,41%,96%,25,8,2,9%,Yes,21,Decrease,3,25,66%,Increase,1%,80%,,,,,,,,,,,,,,83%,Decrease,1%,85%,67%,Decrease,7%,77%,78%,Decrease,5%,83%
1935,Seaside SD 10,5385,The Cannon Beach Academy,Amy Fredrickson,Grade(s) K-2,E,Clatsop,28,*,2,*,*,*,2,0,0,-1,No,14,New School,,25,77%,New School,,80%,*,*,New School,,,*,New School,,,*,New School,,,,,,,,,,,,,,
2257,Sheridan SD 48J,1235,Faulconer-Chapman School,Dave Kline,Grade(s) K-8,E,Yamhill,488,5%,3,17%,>95%,95%,34,11,2,23%,No,18,Decrease,2,25,73%,Decrease,2%,80%,Average,27%,Increase,1%,54%,28%,Decrease,5%,42%,28%,Decrease,11%,64%,,,,,,,,,,,,
2257,Sheridan SD 48J,4833,Sheridan AllPrep Academy,Jesse Eisenschmidt,Grade(s) K-12,H,Yamhill,150,*,2,7%,15%,*,7,0,1,22%,No,11,Decrease,3,25,94%,Increase,2%,80%,,,,,,,,,,,,,,73%,Increase,17%,85%,41%,Increase,11%,77%,44%,Decrease,6%,83%
2257,Sheridan SD 48J,1237,Sheridan High School,Dean Rech,Grade(s) 9-12,H,Yamhill,225,7%,2,9%,>95%,95%,15,2,1,12%,No,16,Increase,3,25,64%,Increase,1%,80%,,,,,,,,,,,,,,72%,Increase,12%,85%,80%,Decrease,1%,77%,84%,Decrease,8%,83%
2257,Sheridan SD 48J,2728,Sheridan Japanese School,Jen Schulze,Grade(s) 4-12,H,Yamhill,88,*,2,*,34%,94%,6,1,0,43%,Yes,15,Increase,2,25,90%,Increase,4%,80%,,,,,,,,,,,,,,70%,Decrease,21%,85%,100%,No Change,,77%,100%,Increase,11%,83%
2195,Sherman County SD,1010,Sherman County School,Mike Somnis,Grade(s) K-12,H,Sherman,249,<5%,1,16%,48%,92%,16,6,1,40%,Yes,15,Decrease,4,25,81%,Decrease,1%,80%,,,,,,,,,,,,,,79%,Decrease,6%,85%,83%,Decrease,6%,77%,94%,Increase,4%,83%
2244,Sherwood SD 88J,1334,Archer Glen Elementary School,Tim Smith,Grade(s) K-5,E,Washington,559,<5%,9,12%,15%,95%,25,13,1,12%,Yes,26,Increase,1,25,91%,Decrease,2%,80%,Average,75%,Decrease,1%,51%,75%,Increase,1%,44%,83%,Decrease,9%,65%,,,,,,,,,,,,
2244,Sherwood SD 88J,4730,Edy Ridge Elementary School,Miranda Johnson,Grade(s) K-5,E,Washington,579,8%,10,12%,19%,97%,28,13,1,10%,No,22.5,Decrease,4,25,92%,No Change,,80%,High,75%,Increase,2%,51%,76%,Increase,4%,44%,>95%,Increase,>11%,65%,,,,,,,,,,,,
2244,Sherwood SD 88J,1191,J Clyde Hopkins Elementary School,Penny Salm,Grade(s) K-5,E,Washington,499,10%,10,15%,33%,90%,24,16,1,13%,Yes,25,Increase,2,25,87%,Decrease,3%,80%,High,70%,Increase,2%,51%,59%,Decrease,4%,44%,76%,Decrease,1%,65%,,,,,,,,,,,,
2244,Sherwood SD 88J,4731,Laurel Ridge Middle School,Janay Cookson,Grade(s) 6-8,M,Washington,492,<5%,10,11%,10%,97%,22,4,2,6%,Yes,30,Increase,2,25,90%,Decrease,3%,80%,High,86%,Increase,1%,56%,80%,Increase,3%,41%,91%,Increase,2%,61%,,,,,,,,,,,,
2244,Sherwood SD 88J,3222,Middleton Elementary School,Jon Wollmuth,Grade(s) K-5,E,Washington,605,<5%,9,13%,6%,95%,28,16,1,11%,Yes,25,No Change,,25,93%,No Change,,80%,High,79%,Increase,1%,51%,75%,No Change,,44%,91%,Increase,8%,65%,,,,,,,,,,,,
2244,Sherwood SD 88J,4220,Sherwood Charter School,Joy Raboli,Grade(s) K-8,E,Washington,200,*,4,11%,8%,84%,13,0,1,37%,No,22,Decrease,1,25,87%,No Change,,80%,High,80%,Increase,4%,54%,82%,Increase,7%,42%,93%,Increase,3%,64%,,,,,,,,,,,,
2244,Sherwood SD 88J,1193,Sherwood High School,Ken Bell,Grade(s) 9-12,H,Washington,1656,6%,20,10%,14%,97%,73,9,5,7%,No,29,Decrease,1,25,83%,Decrease,2%,80%,,,,,,,,,,,,,,95%,No Change,,85%,96%,Increase,6%,77%,98%,Increase,2%,83%
2244,Sherwood SD 88J,1192,Sherwood Middle School,Marianne Funderhide,Grade(s) 6-8,M,Washington,690,7%,19,14%,19%,96%,32,10,2,15%,No,28,Decrease,1,25,87%,Decrease,2%,80%,High,77%,Decrease,2%,56%,66%,No Change,,41%,79%,Decrease,8%,61%,,,,,,,,,,,,
2138,Silver Falls SD 4J,784,Bethany Charter School,Kathy Frank,Grade(s) K-8,E,Marion,137,*,1,11%,20%,79%,6,4,0,20%,No,30,Increase,1,25,94%,Increase,4%,80%,High,68%,Increase,5%,54%,45%,Increase,2%,42%,90%,Increase,16%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,119,Butte Creek Elementary School,Kevin Palmer,Grade(s) K-8,E,Marion,309,26%,4,13%,44%,75%,20,8,1,15%,Yes,25,No Change,,25,69%,Decrease,1%,80%,High,62%,Increase,2%,54%,46%,Decrease,1%,42%,83%,Increase,12%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,807,Central Howell Elementary School,Dustin Hoehne,Grade(s) K-8,E,Marion,177,6%,6,10%,16%,93%,8,3,1,23%,No,25,No Change,,25,93%,Increase,4%,80%,High,59%,Decrease,5%,54%,51%,Decrease,3%,42%,67%,Decrease,9%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,718,Evergreen Elementary School,Jamie Mccarty,Grade(s) K-8,E,Marion,87,*,1,*,17%,82%,5,3,0,17%,Yes,20.5,No Change,,25,93%,Decrease,>2%,80%,High,93%,Increase,8%,54%,88%,Increase,3%,42%,>95%,No Change,,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,714,Mark Twain Elementary,Greg Kaatz,Grade(s) K-2,E,Marion,334,13%,4,7%,50%,92%,18,11,1,20%,Yes,22,Decrease,1,25,82%,No Change,,80%,*,45%,Increase,2%,,44%,Increase,8%,,*,No Change,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,780,Pratum Elementary School,Dustin Hoehne,Grade(s) 1-8,E,Marion,75,*,2,19%,20%,89%,4,3,0,4%,No,20.5,Decrease,7,25,>95%,No Change,,80%,High,73%,Decrease,10%,54%,66%,Decrease,6%,42%,83%,Decrease,12%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,716,Robert Frost Elementary School,Leslie Roache,Grade(s) 3-5,E,Marion,414,16%,6,20%,52%,91%,23,17,1,22%,No,25,Decrease,4,25,83%,Decrease,1%,80%,Average,49%,No Change,,51%,35%,Increase,1%,44%,76%,Increase,9%,65%,,,,,,,,,,,,
2138,Silver Falls SD 4J,785,Scotts Mills Elementary School,Kirstin Jorgenson,Grade(s) K-8,E,Marion,156,11%,4,17%,46%,86%,10,5,1,29%,No,18,Decrease,6,25,72%,Decrease,2%,80%,High,58%,Increase,4%,54%,50%,Increase,10%,42%,64%,Decrease,11%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,795,Silver Crest Elementary School,Mark Hannan,Grade(s) K-8,E,Marion,145,9%,4,14%,35%,83%,9,4,0,18%,Yes,14,Decrease,4,25,88%,Decrease,2%,80%,High,71%,Increase,11%,54%,51%,Increase,5%,42%,73%,Increase,5%,64%,,,,,,,,,,,,
2138,Silver Falls SD 4J,812,Silverton High School,Wade Lockett,Grade(s) 9-12,H,Marion,1252,14%,10,13%,35%,91%,62,14,4,14%,Yes,24,Decrease,2,25,77%,Increase,4%,80%,,,,,,,,,,,,,,>95%,No Change,,85%,88%,Decrease,1%,77%,93%,Decrease,1%,83%
2138,Silver Falls SD 4J,715,Silverton Middle School,Brett Davisson,Grade(s) 6-8,M,Marion,453,11%,5,16%,43%,92%,23,9,1,22%,Yes,22,Decrease,4,25,83%,Decrease,1%,80%,Average,60%,Increase,2%,56%,40%,Decrease,4%,41%,57%,Increase,12%,61%,,,,,,,,,,,,
2138,Silver Falls SD 4J,4746,The Community Roots School,Miranda Pickner,Grade(s) K-7,E,Marion,119,*,2,14%,26%,57%,7,6,1,21%,No,25,Increase,1,25,86%,Increase,10%,80%,High,61%,Decrease,3%,53%,35%,Increase,8%,43%,80%,Increase,30%,65%,,,,,,,,,,,,
2138,Silver Falls SD 4J,777,Victor Point Elementary School,Jamie McCarty,Grade(s) K-8,E,Marion,222,*,2,11%,20%,90%,11,5,0,24%,No,26,Increase,2,25,92%,Decrease,2%,80%,High,83%,Decrease,3%,54%,78%,Decrease,5%,42%,89%,Decrease,>6%,64%,,,,,,,,,,,,
1978,Sisters SD 6,264,Sisters Elementary School,Becky Stoughton,Grade(s) K-4,E,Deschutes,322,5%,5,8%,39%,86%,19,4,1,10%,No,19,Decrease,3,25,84%,Increase,2%,80%,High,66%,Increase,21%,49%,48%,Increase,6%,46%,*,No Change,,,,,,,,,,,,,,
1978,Sisters SD 6,1294,Sisters High School,Joe Hosang,Grade(s) 9-12,H,Deschutes,456,*,5,13%,20%,94%,21,6,2,7%,No,19,Increase,3,25,78%,No Change,,80%,,,,,,,,,,,,,,89%,Increase,11%,85%,87%,Increase,1%,77%,87%,Decrease,3%,83%
1978,Sisters SD 6,1293,Sisters Middle School,Marshall Jackson,Grade(s) 5-8,M,Deschutes,322,<5%,4,10%,28%,90%,17,2,1,10%,Yes,22,Decrease,1,25,83%,Decrease,2%,80%,Average,68%,Increase,5%,56%,50%,Increase,1%,41%,90%,Increase,2%,64%,,,,,,,,,,,,
2096,Siuslaw SD 97J,609,Siuslaw Elementary School,Mike Harklerode,Grade(s) K-5,E,Lane,620,5%,4,18%,67%,94%,32,24,1,9%,No,26,Decrease,1,25,83%,Decrease,4%,80%,Average,49%,Increase,1%,51%,41%,Decrease,2%,44%,67%,Decrease,9%,65%,,,,,,,,,,,,
2096,Siuslaw SD 97J,610,Siuslaw High School,Kerri Tatum,Grade(s) 9-12,H,Lane,413,<5%,6,13%,61%,97%,24,4,1,11%,No,18,No Change,,25,70%,Decrease,4%,80%,,,,,,,,,,,,,,83%,Decrease,10%,85%,85%,Increase,13%,77%,87%,No Change,,83%
2096,Siuslaw SD 97J,608,Siuslaw Middle School,Andy Marohl,Grade(s) 6-8,M,Lane,337,5%,4,14%,66%,93%,18,4,1,14%,Yes,22,Increase,2,25,79%,Increase,4%,80%,Average,51%,Increase,7%,56%,35%,Increase,8%,41%,57%,Increase,6%,61%,,,,,,,,,,,,
2022,South Harney SD 33,357,Fields Elementary School,Stacey Moser,Grade(s) K-8,E,Harney,13,*,1,*,*,92%,2,1,0,17%,Yes,7,Decrease,5,25,92%,Increase,19%,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
2087,South Lane SD 45J3,4555,Academy for Character Education,Star Sahnow,Grade(s) K-12,H,Lane,103,*,3,10%,27%,71%,5,1,0,17%,Yes,9.5,Increase,3,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,100%,No Change,,77%,100%,No Change,,83%
2087,South Lane SD 45J3,1791,Al Kennedy High School,Halie Ketcher,Grade(s) 9-12,H,Lane,69,*,2,14%,>95%,93%,5,0,0,15%,Yes,12,No Change,,25,44%,Increase,13%,80%,,,,,,,,,,,,,,*,No Change,,85%,20%,Increase,3%,77%,51%,Increase,2%,83%
2087,South Lane SD 45J3,573,Bohemia Elementary School,Heather Bridgens,Grade(s) K-5,E,Lane,485,16%,5,12%,52%,92%,28,11,0,18%,No,24.5,Increase,2,25,89%,Increase,2%,80%,Low,44%,No Change,,51%,34%,Decrease,4%,44%,68%,Decrease,14%,65%,,,,,,,,,,,,
2087,South Lane SD 45J3,4395,Childs Way Charter School,Michael Kerns,Grade(s) 5-12,H,Lane,57,*,2,*,*,90%,4,0,0,11%,No,*,No Change,,,84%,Decrease,11%,80%,,,,,,,,,,,,,,*,No Change,,85%,36%,Decrease,39%,77%,75%,Increase,8%,83%
2087,South Lane SD 45J3,580,Cottage Grove High School,Mike Ingman,Grade(s) 9-12,H,Lane,724,8%,4,16%,37%,93%,39,3,2,8%,Yes,21,Decrease,1,25,84%,Increase,10%,80%,,,,,,,,,,,,,,87%,Increase,4%,85%,96%,Increase,2%,77%,94%,Increase,6%,83%
2087,South Lane SD 45J3,574,Dorena School,Linda  Folkman,Grade(s) K-8,E,Lane,82,*,1,29%,>95%,97%,7,3,0,32%,Yes,19.5,Increase,1,25,69%,Decrease,2%,80%,Average,46%,Increase,16%,54%,32%,Increase,9%,42%,69%,Increase,5%,64%,,,,,,,,,,,,
2087,South Lane SD 45J3,576,Harrison Elementary School,Heidi Brown,Grade(s) K-5,E,Lane,426,*,2,20%,46%,90%,23,9,0,15%,Yes,26,Increase,4,25,89%,Increase,3%,80%,Average,50%,Increase,2%,51%,42%,No Change,,44%,67%,Decrease,18%,65%,,,,,,,,,,,,
2087,South Lane SD 45J3,577,Latham Elementary School,Anne Fisk,Grade(s) K-5,E,Lane,89,*,2,20%,43%,95%,7,2,0,42%,No,14,Decrease,4,25,84%,Decrease,10%,80%,Average,51%,Decrease,3%,51%,34%,Decrease,13%,44%,46%,Decrease,28%,65%,,,,,,,,,,,,
2087,South Lane SD 45J3,579,Lincoln Middle School,Jeremy Smith,Grade(s) 6-8,M,Lane,568,5%,3,15%,45%,93%,28,7,2,12%,No,27,No Change,,25,87%,Increase,2%,80%,Average,53%,Decrease,2%,56%,38%,Increase,2%,41%,53%,Decrease,10%,61%,,,,,,,,,,,,
2087,South Lane SD 45J3,578,London School,Bill Bechen,Grade(s) K-8,E,Lane,98,*,1,19%,48%,91%,6,3,0,19%,No,21,No Change,,25,88%,No Change,,80%,High,53%,Increase,3%,54%,42%,Increase,3%,42%,61%,Decrease,18%,64%,,,,,,,,,,,,
1994,South Umpqua SD 19,289,Canyonville School,Doug Park,Grade(s) K-8,E,Douglas,214,*,1,21%,76%,95%,11,8,0,26%,Yes,21,Decrease,1,25,78%,Decrease,1%,80%,High,49%,Increase,7%,54%,35%,Increase,7%,42%,67%,Increase,17%,64%,,,,,,,,,,,,
1994,South Umpqua SD 19,291,Coffenberry Middle School,Laura Smith,Grade(s) 6-8,M,Douglas,308,*,1,22%,66%,95%,14,9,1,21%,Yes,21,Decrease,3,25,77%,Increase,4%,80%,Average,42%,Increase,6%,56%,20%,No Change,,41%,57%,No Change,,61%,,,,,,,,,,,,
1994,South Umpqua SD 19,290,Myrtle Creek Elementary School,Beverly Krystosek,Grade(s) K-5,E,Douglas,326,*,1,21%,71%,90%,17,17,0,33%,No,24,Increase,1,25,75%,Decrease,4%,80%,Average,28%,Decrease,3%,51%,14%,Increase,3%,44%,38%,Decrease,6%,65%,,,,,,,,,,,,
1994,South Umpqua SD 19,293,South Umpqua High School,Carl Simpson,Grade(s) 9-12,H,Douglas,346,*,1,12%,88%,98%,20,8,1,14%,No,17.5,Decrease,2,25,64%,Decrease,6%,80%,,,,,,,,,,,,,,78%,Increase,1%,85%,74%,Decrease,4%,77%,85%,Increase,7%,83%
1994,South Umpqua SD 19,292,Tri City Elementary School,Lori Dilbeck,Grade(s) K-5,E,Douglas,276,*,1,21%,72%,95%,15,11,0,21%,No,26.5,Increase,4,25,78%,Increase,4%,80%,High,51%,Increase,14%,51%,36%,Increase,3%,44%,76%,Increase,16%,65%,,,,,,,,,,,,
2225,South Wasco County SD 1,1108,Maupin Elementary School,Lynn Cowdrey,Grade(s) K-6,E,Wasco,125,9%,2,17%,>95%,99%,9,4,0,8%,No,16,Decrease,3,25,75%,Decrease,2%,80%,Low,37%,Decrease,21%,52%,18%,Decrease,20%,43%,53%,Decrease,17%,65%,,,,,,,,,,,,
2225,South Wasco County SD 1,1109,South Wasco County High School,Lynn Cowdrey,Grade(s) 7-12,H,Wasco,108,12%,3,11%,>95%,99%,8,1,0,0%,No,4,Decrease,7,25,64%,Decrease,7%,80%,,,,,,,,,,,,,,61%,Increase,5%,85%,64%,Decrease,24%,77%,94%,Increase,3%,83%
2247,Spray SD 1,3403,Spray School,Phil Starkey,Grade(s) K-12,H,Wheeler,52,*,1,*,>95%,100%,7,3,0,20%,No,5,No Change,,25,86%,Increase,5%,80%,,,,,,,,,,,,,,*,No Change,,85%,100%,Increase,56%,77%,100%,No Change,,83%
2083,Springfield SD 19,4440,Academy of Arts and Academics,Ame Beard,Grade(s) 9-12,H,Lane,313,*,2,8%,37%,83%,19,1,1,16%,No,20,Decrease,4,25,64%,Increase,1%,80%,,,,,,,,,,,,,,89%,Increase,5%,85%,85%,Decrease,1%,77%,91%,Decrease,4%,83%
2083,Springfield SD 19,1353,Agnes Stewart Middle School,Jeff Fuller,Grade(s) 6-8,M,Lane,582,14%,5,18%,64%,99%,30,14,0,12%,No,27,Decrease,1,25,81%,Increase,1%,80%,Average,45%,Increase,3%,56%,29%,Increase,3%,41%,63%,Increase,5%,61%,,,,,,,,,,,,
2083,Springfield SD 19,542,Briggs Middle School,Jeff Mather,Grade(s) 6-8,M,Lane,477,11%,4,16%,51%,97%,24,8,1,9%,No,28,Increase,2,25,82%,Increase,3%,80%,Average,47%,Decrease,1%,56%,32%,Decrease,2%,41%,39%,Decrease,7%,61%,,,,,,,,,,,,
2083,Springfield SD 19,544,Centennial Elementary School,Amy Halley,Grade(s) K-5,E,Lane,402,12%,3,22%,71%,97%,21,11,0,16%,No,22,Decrease,3,25,83%,Increase,11%,80%,High,53%,Increase,6%,51%,48%,Increase,1%,44%,91%,No Change,,65%,,,,,,,,,,,,
2083,Springfield SD 19,545,Douglas Gardens Elementary School,Carla Smith,Grade(s) K-5,E,Lane,380,12%,5,22%,>95%,96%,20,12,0,19%,Yes,25,Decrease,3,25,88%,Increase,2%,80%,Average,57%,No Change,,51%,50%,Increase,3%,44%,67%,Decrease,15%,65%,,,,,,,,,,,,
2083,Springfield SD 19,546,Elizabeth Page Elementary School,Lacey Macdonald,Grade(s) K-5,E,Lane,398,11%,3,17%,>95%,97%,21,12,0,15%,Yes,26,Increase,3,25,86%,Increase,3%,80%,Average,46%,Increase,9%,51%,36%,Increase,9%,44%,56%,Decrease,1%,65%,,,,,,,,,,,,
2083,Springfield SD 19,1354,Gateways High School,Lesa Haley,Grade(s) 9-12,H,Lane,63,*,2,22%,81%,98%,7,5,1,2%,Yes,9.5,Decrease,3,25,12%,Increase,6%,80%,,,,,,,,,,,,,,*,No Change,,85%,22%,Increase,12%,77%,40%,Increase,5%,83%
2083,Springfield SD 19,548,Guy Lee Elementary School,Amber Mitchell,Grade(s) K-5,E,Lane,390,23%,6,20%,>95%,96%,24,20,0,17%,Yes,24,No Change,,25,79%,Increase,6%,80%,Average,30%,Increase,2%,51%,21%,No Change,,44%,39%,Increase,6%,65%,,,,,,,,,,,,
2083,Springfield SD 19,549,Hamlin Middle School,Kevin Wright,Grade(s) 6-8,M,Lane,653,18%,8,16%,>95%,97%,28,16,2,15%,No,29,No Change,,25,71%,Decrease,5%,80%,Low,41%,Increase,4%,56%,23%,Increase,1%,41%,35%,Decrease,7%,61%,,,,,,,,,,,,
2083,Springfield SD 19,550,Maple Elementary School,Sheila Minney,Grade(s) K-5,E,Lane,343,17%,3,21%,>95%,97%,20,18,0,17%,No,25,No Change,,25,84%,Increase,2%,80%,Average,49%,Decrease,2%,51%,34%,Decrease,5%,44%,60%,Decrease,7%,65%,,,,,,,,,,,,
2083,Springfield SD 19,554,Mt Vernon Elementary School,Cindy Nees,Grade(s) K-5,E,Lane,515,17%,7,16%,66%,98%,27,14,0,13%,No,25,Increase,1,25,87%,Increase,5%,80%,High,46%,Increase,18%,51%,40%,Increase,9%,44%,44%,Decrease,4%,65%,,,,,,,,,,,,
2083,Springfield SD 19,553,Ridgeview Elementary School,Jeremy Hugo,Grade(s) K-5,E,Lane,430,*,3,15%,50%,97%,21,8,1,12%,No,24,No Change,,25,86%,Increase,1%,80%,Average,48%,No Change,,51%,43%,Decrease,5%,44%,68%,Decrease,4%,65%,,,,,,,,,,,,
2083,Springfield SD 19,1352,Riverbend Elementary School,Jim Crist,Grade(s) K-5,E,Lane,500,11%,3,22%,>95%,98%,29,22,0,25%,Yes,23,Decrease,2,25,80%,Increase,1%,80%,Low,41%,Increase,6%,51%,26%,Increase,1%,44%,57%,Decrease,4%,65%,,,,,,,,,,,,
2083,Springfield SD 19,560,Springfield High School,Jose daSilva,Grade(s) 9-12,H,Lane,1226,21%,12,14%,58%,98%,59,18,5,13%,No,24,Decrease,2,25,64%,Decrease,2%,80%,,,,,,,,,,,,,,92%,Increase,10%,85%,63%,Decrease,1%,77%,73%,Increase,2%,83%
2083,Springfield SD 19,556,Thurston Elementary School,Nicki Gorham,Grade(s) K-5,E,Lane,480,*,4,15%,39%,96%,23,16,0,7%,Yes,26,Increase,1,25,90%,Increase,1%,80%,High,65%,Increase,6%,51%,62%,No Change,,44%,81%,Decrease,1%,65%,,,,,,,,,,,,
2083,Springfield SD 19,561,Thurston High School,Chad Towe,Grade(s) 9-12,H,Lane,1233,5%,3,14%,37%,99%,54,19,4,8%,No,25,No Change,,25,69%,Decrease,1%,80%,,,,,,,,,,,,,,91%,Increase,9%,85%,81%,Increase,6%,77%,82%,Increase,2%,83%
2083,Springfield SD 19,557,Thurston Middle School,Brandi Starck,Grade(s) 6-8,M,Lane,561,*,2,11%,37%,96%,24,7,0,12%,No,29,Decrease,1,25,84%,Decrease,1%,80%,High,60%,Increase,6%,56%,51%,Increase,7%,41%,57%,Decrease,11%,61%,,,,,,,,,,,,
2083,Springfield SD 19,5059,Two Rivers Dos Rios Elementary,Charlie Jett,Grade(s) K-5,E,Lane,472,15%,7,18%,>95%,96%,25,16,0,21%,Yes,24,Decrease,4,25,82%,Increase,3%,80%,Average,43%,Increase,12%,51%,29%,Increase,4%,44%,49%,Increase,7%,65%,,,,,,,,,,,,
2083,Springfield SD 19,558,Walterville Elementary School,Dave Hulbert,Grade(s) K-5,E,Lane,179,*,2,11%,46%,96%,9,4,0,26%,Yes,19,Decrease,4,25,94%,Increase,6%,80%,Average,70%,Increase,18%,51%,56%,Increase,17%,44%,55%,Decrease,7%,65%,,,,,,,,,,,,
2083,Springfield SD 19,4058,Willamette Leadership Academy,Tyson Migliaccio,Grade(s) 6-12,H,Lane,321,6%,2,24%,64%,99%,15,15,0,28%,Yes,23,Decrease,4,25,68%,Decrease,3%,80%,,,,,,,,,,,,,,76%,Increase,16%,85%,72%,Increase,13%,77%,85%,Increase,5%,83%
